HJD,HJD_Error,Note,BJD,Cycle_obs,Cycle_cal,O-C,OC_Error
2458768.779754 ,0.000179 ,TESS,2458768.780563 ,44602.999851 ,44603.000000 ,-0.000021 ,0.000179 
2458768.919119 ,0.000134 ,TESS,2458768.919928 ,44603.997901 ,44604.000000 ,-0.000293 ,0.000134 
2458769.059399 ,0.000313 ,TESS,2458769.060208 ,44605.002503 ,44605.000000 ,0.000350 ,0.000313 
2458769.198929 ,0.000239 ,TESS,2458769.199738 ,44606.001734 ,44606.000000 ,0.000242 ,0.000239 
2458769.338776 ,0.000315 ,TESS,2458769.339585 ,44607.003236 ,44607.000000 ,0.000452 ,0.000315 
2458769.478259 ,0.000125 ,TESS,2458769.479068 ,44608.002131 ,44608.000000 ,0.000298 ,0.000125 
2458769.617755 ,0.000214 ,TESS,2458769.618564 ,44609.001119 ,44609.000000 ,0.000156 ,0.000214 
2458769.757436 ,0.000285 ,TESS,2458769.758245 ,44610.001431 ,44610.000000 ,0.000200 ,0.000285 
2458769.896677 ,0.000251 ,TESS,2458769.897486 ,44610.998593 ,44611.000000 ,-0.000196 ,0.000251 
2458770.036317 ,0.000272 ,TESS,2458770.037126 ,44611.998612 ,44612.000000 ,-0.000194 ,0.000272 
2458770.176312 ,0.000192 ,TESS,2458770.177121 ,44613.001173 ,44613.000000 ,0.000164 ,0.000192 
2458770.316069 ,0.000208 ,TESS,2458770.316878 ,44614.002030 ,44614.000000 ,0.000284 ,0.000208 
2458770.456363 ,0.000176 ,TESS,2458770.457172 ,44615.006733 ,44615.000000 ,0.000940 ,0.000176 
2458770.594949 ,0.000218 ,TESS,2458770.595758 ,44615.999204 ,44616.000000 ,-0.000111 ,0.000218 
2458770.735072 ,0.000162 ,TESS,2458770.735880 ,44617.002682 ,44617.000000 ,0.000375 ,0.000162 
2458770.874291 ,0.000139 ,TESS,2458770.875099 ,44617.999686 ,44618.000000 ,-0.000044 ,0.000139 
2458771.014435 ,0.000127 ,TESS,2458771.015243 ,44619.003315 ,44619.000000 ,0.000463 ,0.000127 
2458771.153660 ,0.000093 ,TESS,2458771.154468 ,44620.000362 ,44620.000000 ,0.000050 ,0.000093 
2458771.293600 ,0.000171 ,TESS,2458771.294408 ,44621.002529 ,44621.000000 ,0.000353 ,0.000171 
2458771.433607 ,0.000152 ,TESS,2458771.434415 ,44622.005176 ,44622.000000 ,0.000723 ,0.000152 
2458771.572803 ,0.000153 ,TESS,2458771.573611 ,44623.002016 ,44623.000000 ,0.000281 ,0.000153 
2458771.712158 ,0.000162 ,TESS,2458771.712966 ,44623.999994 ,44624.000000 ,-0.000001 ,0.000162 
2458771.851877 ,0.000191 ,TESS,2458771.852685 ,44625.000579 ,44625.000000 ,0.000081 ,0.000191 
2458771.991656 ,0.000291 ,TESS,2458771.992464 ,44626.001593 ,44626.000000 ,0.000222 ,0.000291 
2458772.131170 ,0.000140 ,TESS,2458772.131978 ,44627.000710 ,44627.000000 ,0.000099 ,0.000140 
2458772.271226 ,0.000222 ,TESS,2458772.272034 ,44628.003708 ,44628.000000 ,0.000518 ,0.000222 
2458772.410804 ,0.000095 ,TESS,2458772.411612 ,44629.003283 ,44629.000000 ,0.000458 ,0.000095 
2458777.856295 ,0.000169 ,TESS,2458777.857103 ,44668.000669 ,44668.000000 ,0.000093 ,0.000169 
2458778.135396 ,0.000168 ,TESS,2458778.136204 ,44669.999425 ,44670.000000 ,-0.000080 ,0.000168 
2458778.275647 ,0.000094 ,TESS,2458778.276455 ,44671.003820 ,44671.000000 ,0.000533 ,0.000094 
2458778.414907 ,0.000099 ,TESS,2458778.415715 ,44672.001118 ,44672.000000 ,0.000156 ,0.000099 
2458778.554499 ,0.000211 ,TESS,2458778.555307 ,44673.000793 ,44673.000000 ,0.000111 ,0.000211 
2458778.693969 ,0.000149 ,TESS,2458778.694777 ,44673.999595 ,44674.000000 ,-0.000057 ,0.000149 
2458778.833531 ,0.000282 ,TESS,2458778.834339 ,44674.999055 ,44675.000000 ,-0.000132 ,0.000282 
2458778.972887 ,0.000236 ,TESS,2458778.973695 ,44675.997040 ,44676.000000 ,-0.000413 ,0.000236 
2458779.112912 ,0.000149 ,TESS,2458779.113720 ,44676.999817 ,44677.000000 ,-0.000026 ,0.000149 
2458779.252445 ,0.000141 ,TESS,2458779.253253 ,44677.999069 ,44678.000000 ,-0.000130 ,0.000141 
2458779.392481 ,0.000152 ,TESS,2458779.393289 ,44679.001924 ,44679.000000 ,0.000269 ,0.000152 
2458779.531981 ,0.000287 ,TESS,2458779.532789 ,44680.000941 ,44680.000000 ,0.000131 ,0.000287 
2458779.671750 ,0.000152 ,TESS,2458779.672558 ,44681.001884 ,44681.000000 ,0.000263 ,0.000152 
2458779.811406 ,0.000175 ,TESS,2458779.812214 ,44682.002018 ,44682.000000 ,0.000282 ,0.000175 
2458779.950778 ,0.000128 ,TESS,2458779.951586 ,44683.000117 ,44683.000000 ,0.000016 ,0.000128 
2458780.090708 ,0.000434 ,TESS,2458780.091516 ,44684.002213 ,44684.000000 ,0.000309 ,0.000434 
2458780.230222 ,0.000182 ,TESS,2458780.231030 ,44685.001330 ,44685.000000 ,0.000186 ,0.000182 
2458780.369455 ,0.000280 ,TESS,2458780.370263 ,44685.998434 ,44686.000000 ,-0.000219 ,0.000280 
2458780.509849 ,0.000211 ,TESS,2458780.510657 ,44687.003853 ,44687.000000 ,0.000538 ,0.000211 
2458780.648460 ,0.000116 ,TESS,2458780.649268 ,44687.996503 ,44688.000000 ,-0.000488 ,0.000116 
2458780.788271 ,0.000144 ,TESS,2458780.789079 ,44688.997747 ,44689.000000 ,-0.000315 ,0.000144 
2458780.927848 ,0.000208 ,TESS,2458780.928656 ,44689.997315 ,44690.000000 ,-0.000375 ,0.000208 
2458781.067633 ,0.000083 ,TESS,2458781.068441 ,44690.998372 ,44691.000000 ,-0.000227 ,0.000083 
2458781.208129 ,0.000233 ,TESS,2458781.208937 ,44692.004521 ,44692.000000 ,0.000631 ,0.000233 
2458781.346834 ,0.000126 ,TESS,2458781.347642 ,44692.997845 ,44693.000000 ,-0.000301 ,0.000126 
2458781.486896 ,0.000133 ,TESS,2458781.487704 ,44694.000886 ,44694.000000 ,0.000124 ,0.000133 
2458781.626710 ,0.000194 ,TESS,2458781.627518 ,44695.002151 ,44695.000000 ,0.000300 ,0.000194 
2458781.765872 ,0.000195 ,TESS,2458781.766680 ,44695.998747 ,44696.000000 ,-0.000175 ,0.000195 
2458781.906107 ,0.000183 ,TESS,2458781.906915 ,44697.003027 ,44697.000000 ,0.000423 ,0.000183 
2458782.045218 ,0.000108 ,TESS,2458782.046026 ,44697.999258 ,44698.000000 ,-0.000104 ,0.000108 
2458782.184903 ,0.000317 ,TESS,2458782.185711 ,44698.999599 ,44699.000000 ,-0.000056 ,0.000317 
2458782.324275 ,0.000142 ,TESS,2458782.325083 ,44699.997699 ,44700.000000 ,-0.000321 ,0.000142 
2458782.464792 ,0.000185 ,TESS,2458782.465600 ,44701.003999 ,44701.000000 ,0.000558 ,0.000185 
2458782.603987 ,0.000194 ,TESS,2458782.604795 ,44702.000831 ,44702.000000 ,0.000116 ,0.000194 
2458782.743794 ,0.000131 ,TESS,2458782.744602 ,44703.002046 ,44703.000000 ,0.000286 ,0.000131 
2458782.883892 ,0.000279 ,TESS,2458782.884700 ,44704.005345 ,44704.000000 ,0.000746 ,0.000279 
2458783.023332 ,0.000228 ,TESS,2458783.024140 ,44705.003932 ,44705.000000 ,0.000549 ,0.000228 
2458783.162125 ,0.000187 ,TESS,2458783.162933 ,44705.997885 ,44706.000000 ,-0.000295 ,0.000187 
2458783.302297 ,0.000104 ,TESS,2458783.303105 ,44707.001714 ,44707.000000 ,0.000239 ,0.000104 
2458783.441503 ,0.000266 ,TESS,2458783.442311 ,44707.998625 ,44708.000000 ,-0.000192 ,0.000266 
2458783.581366 ,0.000091 ,TESS,2458783.582174 ,44709.000241 ,44709.000000 ,0.000034 ,0.000091 
2458783.721257 ,0.000201 ,TESS,2458783.722065 ,44710.002058 ,44710.000000 ,0.000287 ,0.000201 
2458783.860637 ,0.000182 ,TESS,2458783.861445 ,44711.000215 ,44711.000000 ,0.000030 ,0.000182 
